"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"1",0,0,2,2,0,0,5
"2",0,0,2,2,0,0,2
"3",0,0,2,2,0,0,3
"4",0,0,2,2,0,0,4
"5",0,20,2,2,0,0,0
"6",0,15,2,2,0,0,0
"7",0,0,2,2,0,0,2
"8",0,0,2,2,0,0,3
"9",0,20,2,2,0,0,0
"10",0,10,2,2,0,0,0
"11",0,20,2,2,0,0,0
"12",0,10,2,2,0,0,0
"13",1,20,1,2,2,4,0
"14",2,20,1,2,2,4,0
"15",0,10,2,2,0,0,0
"16",0,0,2,2,0,0,2
"17",3,30,1,2,2,2,0
"18",2,30,1,2,2,4,0
"19",0,0,2,2,0,0,2
"20",0,0,2,2,0,0,2
"21",0,0,2,2,0,0,2
"22",0,0,2,2,0,0,3
"23",0,20,2,2,0,0,0
"24",3,60,1,2,2,2,0
"25",2,30,1,2,1,4,0
"26",0,0,2,2,0,0,3
"27",0,0,2,2,0,0,3
"28",0,0,2,2,0,0,3
"29",0,0,2,2,0,0,3
"30",0,0,2,2,0,0,2
"31",0,0,2,2,0,0,3
"32",0,0,2,2,0,0,3
"33",0,0,2,2,0,0,3
"34",1,30,1,2,1,4,0
"35",0,10,2,2,0,0,0
"36",0,10,2,2,0,0,0
"37",0,0,2,2,0,0,3
"38",0,15,2,2,0,0,0
"39",0,0,2,2,0,0,3
"40",2,30,1,2,1,4,0
"41",0,10,2,2,0,0,0
"42",0,15,2,2,0,0,0
"43",3,40,1,2,2,4,0
"44",0,10,2,2,0,0,0
"45",2,30,1,2,2,4,0
"46",2,20,1,2,1,4,0
"47",0,60,2,2,0,0,0
"48",0,30,2,2,0,0,0
"49",0,30,2,2,0,0,0
"50",5,120,1,2,2,2,0
"51",0,20,2,2,0,0,0
"52",0,0,2,2,0,0,2
"53",4,60,1,2,2,1,0
"54",8,30,1,2,2,4,0
"55",0,30,2,2,0,0,0
"56",1,25,1,2,2,5,0
"57",0,30,2,2,0,0,0
"58",0,0,2,2,0,0,1
"59",4,120,1,2,2,2,0
"60",0,0,0,0,0,0,0
"61",0,0,2,2,0,0,2
"62",0,0,2,2,0,0,3
"63",1,60,1,2,1,4,0
"64",2,60,1,2,2,1,0
"65",2,60,1,2,1,4,0
"66",0,0,2,2,0,0,3
"67",0,0,2,2,0,0,1
"68",0,0,2,2,0,0,1
"69",0,30,2,2,0,0,0
"70",2,60,1,1,2,3,0
"71",0,0,2,2,0,0,1
"72",5,30,1,1,2,4,0
"73",2,120,1,2,2,3,0
"74",0,0,2,2,0,0,3
"75",4,60,1,2,1,2,0
"76",0,0,2,2,0,0,5
"77",2,20,1,2,2,4,0
"78",1,60,1,2,2,3,0
"79",6,60,1,2,1,2,0
"80",3,120,1,1,2,2,0
"81",0,0,2,2,0,0,2
"82",0,0,2,2,0,0,5
"83",0,20,2,2,0,0,0
"84",0,20,2,1,0,0,0
"85",0,30,2,2,0,0,0
"86",0,0,2,2,0,0,3
"87",0,0,2,2,0,0,2
"88",0,15,2,2,0,0,0
"89",1,20,1,2,2,3,0
"90",0,20,2,2,0,0,0
"91",1,25,1,2,2,4,0
"92",1,30,1,2,2,3,0
"93",0,0,0,0,0,0,0
"94",2,30,1,2,2,5,0
"95",2,30,1,2,2,5,0
"96",1,30,1,2,2,5,0
"97",0,0,2,2,0,0,3
"98",0,0,2,2,0,0,3
"99",2,25,1,2,2,5,0
"100",5,40,1,2,1,3,0
"101",0,0,2,2,0,0,1
"102",0,0,2,2,0,0,1
"103",0,0,2,2,0,0,1
"104",0,40,2,2,0,0,0
"105",0,0,2,2,0,0,1
"106",0,0,2,2,0,0,3
"107",0,0,2,2,0,0,4
"108",0,0,0,0,0,0,0
"109",1,20,1,2,2,4,0
"110",1,20,1,2,2,1,0
"111",0,0,2,2,0,0,1
"112",1,30,1,2,2,3,0
"113",0,20,2,2,0,0,0
"114",1,38,1,2,2,4,0
"115",0,0,2,2,0,0,1
"116",0,0,2,2,0,0,1
"117",0,20,2,2,0,0,0
"118",15,40,1,2,1,3,0
"119",0,0,2,2,0,0,2
"120",2,20,1,2,2,3,0
"121",0,0,2,2,0,0,5
"122",0,0,2,2,0,0,1
"123",2,30,1,2,2,3,0
"124",4,30,1,2,1,1,0
"125",1,20,1,2,2,5,0
"126",0,15,2,2,0,0,0
"127",10,60,1,2,1,4,0
"128",3,20,1,2,2,4,0
"129",1,30,1,2,2,5,0
"130",0,0,2,2,0,0,3
"131",0,20,2,2,0,0,0
"132",0,30,2,2,0,0,0
"133",0,60,2,2,0,0,0
"134",0,30,2,2,0,0,0
"135",0,30,2,2,0,0,0
"136",1,10,1,2,2,5,0
"137",1,30,1,2,2,5,0
"138",0,30,2,2,0,0,0
"139",5,180,1,2,1,3,0
"140",6,30,1,2,2,2,0
"141",0,10,2,2,0,0,0
"142",0,30,2,2,0,0,0
"143",0,30,2,2,0,0,0
"144",0,0,2,2,0,0,3
"145",4,60,1,2,2,4,0
"146",3,60,1,2,2,1,0
"147",0,180,2,2,0,0,0
"148",0,0,2,2,0,0,5
"149",4,30,1,2,1,2,0
"150",3,60,1,2,2,5,0
"151",10,180,1,1,1,4,0
"152",0,10,2,2,0,0,0
"153",3,60,1,2,2,4,0
"154",0,30,2,2,0,0,0
"155",0,0,2,2,0,0,3
"156",0,0,2,2,0,0,3
"157",1,30,1,2,2,4,0
"158",0,15,2,2,0,0,0
"159",3,30,1,2,2,4,0
"160",4,30,1,2,1,1,0
"161",6,120,1,2,1,1,0
"162",1,60,1,2,2,5,0
"163",4,30,1,2,2,5,0
"164",0,20,2,2,0,0,0
"165",2,30,1,1,2,4,0
"166",0,0,2,2,0,0,1
"167",3,120,1,2,2,4,0
"168",0,90,2,2,0,0,0
"169",3,30,1,2,2,4,0
"170",0,15,2,2,0,0,0
"171",0,10,2,2,0,0,0
"172",4,50,1,2,2,4,0
"173",0,0,2,2,0,0,5
"174",1,15,1,2,2,5,0
"175",1,60,1,2,2,5,0
"176",0,60,2,2,0,0,0
"177",0,30,2,1,0,0,0
"178",0,15,2,2,0,0,0
