"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"1",0,0,2,2,0,0,3
"2",0,0,2,2,0,0,5
"3",0,15,2,2,0,0,0
"4",0,0,2,2,0,0,5
"5",0,0,2,2,0,0,2
"6",0,10,2,2,0,0,0
"7",1,60,1,2,2,4,0
"8",0,15,2,2,0,0,0
"9",0,0,2,2,0,0,1
"10",0,20,2,2,0,0,0
"11",0,0,2,2,0,0,3
"12",1,30,1,2,2,4,0
"13",5,40,1,2,1,4,0
"14",0,0,2,2,0,0,3
"15",5,40,1,2,2,4,0
"16",4,30,1,2,2,4,0
"17",0,0,2,2,0,0,3
"18",0,0,2,2,0,0,3
"19",1,30,1,2,1,5,0
"20",0,0,2,2,0,0,3
"21",0,10,2,2,0,0,0
"22",0,0,2,2,0,0,3
"23",0,0,2,2,0,0,3
"24",0,0,2,2,0,0,3
"25",2,30,1,2,1,4,0
"26",4,40,1,2,2,1,0
"27",0,10,2,2,0,0,0
"28",0,10,2,2,0,0,0
"29",0,10,2,2,0,0,0
"30",0,0,2,2,0,0,3
"31",2,30,1,2,1,4,0
"32",4,45,1,2,1,2,0
"33",3,30,1,2,1,4,0
"34",0,0,2,2,0,0,2
"35",0,0,2,2,0,0,2
"36",0,15,2,2,0,0,0
"37",0,0,2,2,0,0,3
"38",0,15,2,2,0,0,0
"39",0,0,2,2,0,0,3
"40",0,0,2,2,0,0,3
"41",3,30,1,2,1,2,0
"42",0,0,2,2,0,0,5
"43",0,15,2,2,0,0,0
"44",0,0,2,2,0,0,3
"45",0,20,2,2,0,0,0
"46",0,15,2,2,0,0,0
"47",4,60,1,2,2,3,0
"48",2,40,1,2,2,3,0
"49",4,120,1,2,2,3,0
"50",1,30,1,2,2,5,0
"51",1,30,1,2,2,4,0
"52",0,0,2,2,0,0,1
"53",2,20,1,1,2,4,0
"54",0,5,2,2,0,0,0
"55",2,20,1,2,2,2,0
"56",0,10,2,2,0,0,0
"57",0,20,2,2,0,0,0
"58",0,30,2,2,0,0,0
"59",0,60,2,2,0,0,0
"60",4,60,1,2,2,4,0
"61",0,20,2,2,0,0,0
"62",0,0,2,2,0,0,3
"63",0,60,2,2,0,0,0
"64",0,0,2,2,0,0,3
"65",0,15,2,2,0,0,0
"66",4,30,1,2,2,3,0
"67",12,30,1,2,2,4,0
"68",2,30,1,2,2,3,0
"69",0,40,2,2,0,0,0
"70",0,0,2,2,0,0,1
"71",0,0,2,2,0,0,5
"72",0,0,2,2,0,0,1
"73",0,0,2,2,0,0,5
"74",1,15,1,2,1,5,0
"75",0,0,2,2,0,0,1
"76",0,0,2,2,0,0,1
"77",3,15,1,2,2,6,0
"78",2,90,1,2,1,4,0
"79",0,0,2,2,0,0,1
"80",0,20,2,2,0,0,0
"81",0,30,2,2,0,0,0
"82",3,80,1,2,1,1,0
"83",1,10,1,2,2,6,0
"84",5,30,1,2,2,3,0
"85",2,15,1,2,2,3,0
"86",0,30,2,2,0,0,0
"87",2,20,1,2,1,1,0
"88",0,0,2,2,0,0,5
"89",3,30,1,2,2,4,0
"90",0,15,2,2,0,0,0
"91",0,0,2,2,0,0,5
"92",0,0,2,2,0,0,3
"93",0,20,2,2,0,0,0
"94",0,0,2,2,0,0,3
"95",0,25,2,2,0,0,0
"96",2,40,1,2,2,4,0
"97",5,40,1,2,2,2,0
"98",0,25,2,2,0,0,0
"99",0,0,2,2,0,0,5
"100",3,60,1,2,2,3,0
"101",2,25,1,2,2,1,0
"102",1,20,1,2,2,3,0
"103",0,20,2,2,0,0,0
"104",0,20,2,2,0,0,0
"105",0,15,2,2,0,0,0
"106",3,60,1,2,1,2,0
"107",0,0,2,2,0,0,3
"108",3,60,1,2,2,4,0
"109",0,30,2,2,0,0,0
"110",5,80,1,2,2,3,0
"111",0,25,2,2,0,0,0
"112",0,30,2,2,0,0,0
"113",3,15,1,2,2,2,0
"114",0,0,2,2,0,0,5
"115",0,25,2,2,0,0,0
"116",2,60,1,2,2,1,0
"117",4,40,1,2,2,4,0
"118",6,60,1,2,2,4,0
"119",0,25,2,2,0,0,0
"120",5,60,1,2,2,3,0
"121",1,60,1,2,2,5,0
"122",1,30,1,2,2,4,0
"123",0,10,2,2,0,0,0
"124",3,120,1,2,2,4,0
"125",0,20,2,2,0,0,0
"126",0,40,2,2,0,0,0
"127",0,0,2,2,0,0,5
"128",0,0,0,0,0,0,0
"129",0,0,2,2,0,0,3
"130",1,60,1,2,2,1,0
"131",0,30,2,2,0,0,0
"132",0,30,2,2,0,0,0
"133",0,30,2,2,0,0,0
"134",4,60,1,2,2,1,0
"135",0,20,2,2,0,0,0
"136",2,60,1,2,2,3,0
"137",5,30,1,2,2,4,0
"138",3,60,1,1,2,4,0
"139",10,120,1,2,1,4,0
"140",3,60,1,2,2,4,0
"141",0,30,2,2,0,0,0
"142",0,20,2,2,0,0,0
"143",5,20,1,2,2,5,0
"144",0,30,2,2,0,0,0
"145",0,0,2,2,0,0,1
"146",0,15,2,2,0,0,0
"147",0,0,2,2,0,0,5
"148",1,30,1,2,2,5,0
"149",8,30,1,2,2,4,0
"150",0,60,2,2,0,0,0
"151",0,10,2,2,0,0,0
"152",0,15,2,2,0,0,0
"153",0,30,2,2,0,0,0
"154",0,0,2,2,0,0,3
"155",1,60,1,2,2,5,0
"156",6,30,1,1,2,4,0
"157",3,60,1,2,2,4,0
"158",1,30,1,2,2,5,0
"159",0,20,2,2,0,0,0
"160",0,0,2,2,0,0,3
"161",0,0,2,2,0,0,2
"162",1,30,1,1,1,4,0
"163",0,6,2,2,0,0,0
"164",0,0,2,2,0,0,1
"165",6,30,1,2,2,3,0
"166",0,0,2,2,0,0,3
"167",0,15,2,2,0,0,0
"168",0,0,2,2,0,0,1
"169",1,20,1,2,2,4,0
"170",2,20,1,2,2,4,0
"171",0,10,2,2,0,0,0
"172",0,60,2,2,0,0,0
"173",3,60,1,2,1,1,0
"174",0,0,2,2,0,0,3
"175",0,30,2,2,0,0,0
"176",0,30,2,2,0,0,0
"177",1,5,1,2,2,5,0
"178",0,0,2,2,0,0,1
"179",0,30,2,2,0,0,0
"180",2,20,1,2,2,3,0
"181",1,15,1,2,2,5,0
"182",0,5,2,2,0,0,0
"183",1,20,1,2,2,4,0
"184",0,5,2,2,0,0,0
"185",0,0,2,2,0,0,1
"186",0,60,2,2,0,0,0
"187",1,20,1,2,2,4,0
"188",0,5,2,2,0,0,0
"189",0,0,2,2,0,0,3
"190",1,60,1,2,2,3,0
"191",0,20,2,2,0,0,0
"192",0,15,2,1,0,0,0
"193",1,20,1,1,2,4,0
"194",0,0,2,2,0,0,1
"195",0,45,2,2,0,0,0
"196",0,0,2,2,0,0,3
"197",3,120,1,2,2,3,0
"198",2,90,1,2,1,1,0
"199",0,0,0,0,0,0,0
"200",0,45,2,2,0,0,0
"201",0,0,2,2,0,0,1
"202",7,120,1,2,1,2,0
"203",0,20,2,2,0,0,0
"204",2,45,1,2,2,3,0
"205",0,0,2,2,0,0,1
"206",0,0,2,2,0,0,5
"207",0,60,2,2,0,0,0
"208",1,40,1,2,2,4,0
"209",4,120,1,2,1,3,0
"210",1,45,1,2,2,5,0
"211",0,0,2,2,0,0,5
"212",2,60,1,2,1,1,0
"213",0,0,2,2,0,0,2
"214",14,120,1,2,2,4,0
"215",0,0,2,2,0,0,5
"216",0,0,2,2,0,0,1
"217",0,0,2,2,0,0,1
"218",0,45,2,2,0,0,0
"219",2,60,1,2,2,4,0
"220",0,50,2,2,0,0,0
"221",0,0,2,2,0,0,5
"222",0,0,2,2,0,0,2
"223",6,60,1,2,1,4,0
"224",0,60,2,2,0,0,0
"225",7,60,1,2,1,3,0
"226",0,60,2,2,0,0,0
"227",3,120,1,2,2,4,0
"228",0,0,2,2,0,0,5
"229",0,0,2,2,0,0,2
"230",0,0,2,2,0,0,1
"231",0,0,2,2,0,0,1
"232",0,45,2,2,0,0,0
"233",0,0,2,2,0,0,1
"234",0,120,2,2,0,0,0
"235",1,30,1,2,2,5,0
"236",0,45,2,2,0,0,0
"237",0,60,2,2,0,0,0
"238",0,60,2,2,0,0,0
"239",0,0,2,2,0,0,3
"240",5,10,1,1,1,2,0
"241",0,10,2,2,0,0,0
"242",4,60,1,2,2,4,0
"243",1,60,1,2,2,5,0
"244",1,30,1,2,2,4,0
"245",1,15,1,2,2,5,0
"246",10,20,1,2,1,3,0
"247",3,120,1,2,2,3,0
"248",2,30,1,2,1,4,0
"249",0,0,2,2,0,0,1
"250",0,0,2,2,0,0,3
"251",2,45,1,2,2,3,0
"252",0,10,2,2,0,0,0
"253",0,0,2,2,0,0,1
"254",0,30,2,2,0,0,0
"255",8,60,1,2,1,1,0
"256",6,60,1,1,2,4,0
"257",1,20,1,2,2,3,0
"258",2,15,1,2,2,4,0
"259",0,20,2,2,0,0,0
"260",0,0,0,0,0,0,0
"261",4,60,1,2,1,1,0
"262",8,30,1,1,2,3,0
"263",0,3,2,2,0,0,0
"264",1,30,1,1,2,2,0
"265",1,40,1,2,2,3,0
"266",0,60,2,2,0,0,0
"267",0,10,2,2,0,0,0
"268",0,30,2,2,0,0,0
"269",0,0,0,0,0,0,0
"270",0,60,2,2,0,0,0
"271",0,10,2,2,0,0,0
"272",2,30,1,2,1,1,0
"273",1,30,1,1,2,3,0
"274",2,10,1,2,2,3,0
"275",1,20,1,2,2,3,0
"276",2,60,1,2,2,4,0
"277",0,5,2,2,0,0,0
"278",0,5,2,2,0,0,0
"279",0,15,2,2,0,0,0
"280",0,30,2,2,0,0,0
"281",3,60,1,2,2,4,0
"282",2,30,1,1,2,4,0
"283",0,0,2,2,0,0,1
"284",1,30,1,2,2,4,0
"285",5,60,1,2,2,4,0
"286",1,60,1,2,2,4,0
"287",2,120,1,2,1,2,0
"288",0,30,2,2,0,0,0
"289",4,30,1,2,2,2,0
"290",0,0,2,2,0,0,1
"291",0,0,2,2,0,0,1
"292",4,90,1,2,2,4,0
"293",0,20,2,2,0,0,0
"294",0,20,2,2,0,0,0
"295",0,0,2,2,0,0,1
"296",0,15,2,2,0,0,0
"297",1,60,1,2,2,4,0
"298",3,60,1,2,1,1,0
"299",0,10,2,2,0,0,0
"300",1,30,1,2,2,4,0
"301",6,60,1,2,1,4,0
"302",1,30,1,2,2,4,0
"303",6,60,1,2,2,3,0
"304",0,15,2,2,0,0,0
"305",1,15,1,2,2,4,0
"306",2,20,1,2,2,4,0
"307",0,10,2,2,0,0,0
"308",0,30,2,2,0,0,0
"309",1,20,1,2,2,3,0
"310",0,0,2,2,0,0,3
"311",0,0,2,2,0,0,1
"312",1,30,1,1,2,4,0
"313",0,10,2,2,0,0,0
"314",0,30,2,2,0,0,0
"315",0,0,0,0,0,0,0
"316",2,60,1,2,1,2,0
"317",0,0,2,2,0,0,3
"318",0,0,2,2,0,0,5
"319",3,120,1,2,1,2,0
"320",0,15,2,2,0,0,0
"321",0,0,2,2,0,0,1
"322",0,20,2,2,0,0,0
"323",0,0,2,2,0,0,3
"324",1,30,1,2,2,4,0
"325",0,20,2,2,0,0,0
"326",0,15,2,2,0,0,0
"327",0,20,2,2,0,0,0
"328",4,90,1,2,2,3,0
"329",0,0,2,2,0,0,1
"330",0,30,2,2,0,0,0
"331",4,120,1,2,2,2,0
"332",0,0,2,2,0,0,1
"333",0,0,2,2,0,0,3
"334",3,120,1,2,2,4,0
"335",6,40,1,2,2,3,0
"336",7,60,1,2,2,4,0
"337",2,40,1,2,1,3,0
"338",0,20,2,2,0,0,0
"339",2,60,1,2,2,4,0
"340",0,30,2,2,0,0,0
"341",3,60,1,2,2,3,0
"342",0,35,2,2,0,0,0
"343",2,45,1,2,2,2,0
"344",0,0,2,2,0,0,3
"345",0,30,2,2,0,0,0
"346",0,35,2,2,0,0,0
"347",0,0,2,2,0,0,1
"348",0,20,2,2,0,0,0
"349",5,90,1,2,2,1,0
"350",1,30,1,2,2,4,0
"351",1,30,1,2,2,3,0
"352",0,0,2,2,0,0,5
"353",0,30,2,2,0,0,0
"354",2,120,1,2,2,4,0
"355",0,30,2,2,0,0,0
"356",1,120,1,2,2,4,0
"357",2,45,1,2,2,3,0
"358",0,0,2,2,0,0,1
"359",0,50,2,2,0,0,0
"360",0,25,2,2,0,0,0
"361",0,50,2,2,0,0,0
"362",0,30,2,2,0,0,0
"363",0,30,2,2,0,0,0
"364",0,20,2,2,0,0,0
"365",0,0,0,0,0,0,0
"366",0,0,2,2,0,0,3
"367",0,40,2,2,0,0,0
"368",0,60,2,2,0,0,0
"369",0,0,2,2,0,0,1
"370",0,15,2,2,0,0,0
"371",0,30,2,2,0,0,0
"372",2,60,1,2,2,3,0
"373",0,30,2,2,0,0,0
"374",35,120,1,2,1,1,0
"375",0,10,2,2,0,0,0
"376",0,15,2,2,0,0,0
"377",0,0,2,2,0,0,3
"378",0,30,2,2,0,0,0
"379",0,0,2,2,0,0,5
"380",0,60,2,2,0,0,0
"381",40,150,1,2,1,1,0
"382",0,0,2,2,0,0,5
"383",0,20,2,2,0,0,0
"384",0,0,2,2,0,0,3
"385",0,0,2,2,0,0,3
"386",0,0,2,2,0,0,5
"387",0,0,2,2,0,0,2
"388",0,0,2,2,0,0,5
"389",18,120,1,2,2,4,0
"390",10,120,1,2,2,2,0
"391",0,0,2,2,0,0,1
"392",0,0,2,2,0,0,3
"393",0,20,2,2,0,0,0
"394",12,60,1,2,2,3,0
"395",0,10,2,2,0,0,0
"396",6,60,1,2,1,1,0
"397",0,0,2,2,0,0,3
"398",2,40,1,2,2,4,0
"399",2,60,1,2,1,4,0
"400",3,60,1,2,1,4,0
"401",0,0,2,2,0,0,5
"402",0,0,2,2,0,0,3
"403",0,0,2,2,0,0,1
"404",0,20,2,2,0,0,0
"405",1,60,1,2,2,2,0
"406",0,0,2,2,0,0,3
"407",0,30,2,2,0,0,0
"408",0,0,2,2,0,0,3
"409",0,0,2,2,0,0,3
"410",0,15,2,1,0,0,0
"411",15,60,1,2,1,2,0
"412",0,60,2,2,0,0,0
"413",4,60,1,2,1,6,0
"414",0,0,2,2,0,0,3
"415",0,20,2,2,0,0,0
"416",0,0,2,2,0,0,1
"417",0,0,2,2,0,0,5
"418",0,30,2,2,0,0,0
"419",0,30,2,2,0,0,0
"420",0,0,2,2,0,0,1
"421",0,30,2,2,0,0,0
"422",0,0,2,2,0,0,1
"423",0,30,2,2,0,0,0
"424",0,20,2,2,0,0,0
"425",0,0,2,2,0,0,3
"426",0,0,2,2,0,0,5
"427",0,0,2,2,0,0,3
"428",0,40,2,2,0,0,0
"429",0,0,2,2,0,0,3
"430",0,0,2,2,0,0,1
"431",0,0,2,2,0,0,1
"432",0,0,2,2,0,0,3
"433",0,30,2,2,0,0,0
"434",1,30,1,2,2,3,0
"435",2,20,1,2,2,4,0
"436",2,30,1,2,2,3,0
"437",2,60,1,2,2,2,0
"438",0,20,2,2,0,0,0
"439",0,40,2,2,0,0,0
"440",0,20,2,2,0,0,0
"441",3,60,1,2,2,3,0
"442",3,20,1,2,2,3,0
"443",1,30,1,2,2,1,0
"444",1,30,1,2,2,4,0
"445",0,20,2,2,0,0,0
"446",4,90,1,2,2,2,0
"447",0,0,2,2,0,0,3
"448",0,0,2,2,0,0,3
"449",0,40,2,2,0,0,0
"450",0,60,2,2,0,0,0
"451",0,30,2,2,0,0,0
"452",0,40,2,2,0,0,0
"453",3,90,1,2,2,4,0
"454",0,20,2,2,0,0,0
"455",0,0,2,2,0,0,5
"456",0,20,2,2,0,0,0
"457",0,25,2,2,0,0,0
"458",2,30,1,2,2,4,0
"459",0,0,2,2,0,0,5
"460",0,30,2,2,0,0,0
"461",0,0,2,2,0,0,3
"462",0,35,2,2,0,0,0
"463",0,30,2,2,0,0,0
"464",0,60,2,2,0,0,0
"465",4,60,1,2,2,3,0
"466",0,30,2,2,0,0,0
"467",0,20,2,2,0,0,0
"468",0,30,2,2,0,0,0
"469",0,30,2,2,0,0,0
"470",0,0,2,2,0,0,5
"471",3,20,1,2,2,3,0
"472",2,20,1,2,1,2,0
"473",4,30,1,2,2,4,0
"474",8,60,1,2,2,2,0
"475",5,30,1,2,2,2,0
"476",6,60,1,2,2,2,0
"477",0,0,2,2,0,0,3
"478",2,30,1,2,1,3,0
"479",2,60,1,2,2,4,0
"480",0,30,2,2,0,0,0
"481",2,60,1,2,1,3,0
"482",0,0,2,2,0,0,6
"483",0,20,2,2,0,0,0
"484",3,120,1,2,2,4,0
"485",0,30,2,2,0,0,0
"486",0,0,2,2,0,0,3
"487",0,0,2,2,0,0,3
"488",0,0,2,2,0,0,3
"489",0,20,2,2,0,0,0
"490",0,0,2,2,0,0,5
"491",0,30,2,2,0,0,0
"492",2,60,1,2,2,4,0
"493",3,90,1,2,1,3,0
"494",6,40,1,2,2,3,0
"495",3,30,1,2,2,4,0
"496",0,0,2,2,0,0,3
"497",0,0,2,2,0,0,5
"498",0,40,2,2,0,0,0
"499",0,30,2,2,0,0,0
"500",0,30,2,2,0,0,0
"501",1,15,1,2,2,3,0
"502",0,30,2,2,0,0,0
"503",0,20,2,2,0,0,0
"504",0,30,2,2,0,0,0
"505",0,15,2,2,0,0,0
"506",3,120,1,2,1,2,0
"507",0,0,2,2,0,0,1
"508",0,0,2,2,0,0,1
"509",2,120,1,2,2,4,0
"510",0,0,2,2,0,0,3
"511",0,30,2,2,0,0,0
"512",2,60,1,2,1,2,0
"513",0,0,2,2,0,0,3
"514",0,0,2,2,0,0,2
"515",1,60,1,2,2,4,0
"516",0,0,2,2,0,0,5
"517",3,120,1,2,2,4,0
"518",0,0,2,2,0,0,5
"519",0,0,2,2,0,0,5
"520",1,30,1,2,2,3,0
"521",0,0,2,2,0,0,1
"522",2,60,1,2,2,4,0
"523",3,60,1,2,2,4,0
"524",3,60,1,2,2,3,0
"525",5,90,1,2,2,4,0
"526",0,20,2,2,0,0,0
"527",0,0,2,2,0,0,3
"528",0,0,2,2,0,0,5
"529",4,60,1,2,2,1,0
"530",0,15,2,2,0,0,0
"531",1,30,1,2,2,3,0
"532",0,15,2,2,0,0,0
"533",3,25,1,2,2,2,0
"534",5,35,1,2,2,2,0
"535",0,15,2,2,0,0,0
"536",0,15,2,1,0,0,0
"537",2,60,1,2,2,3,0
"538",3,120,1,1,2,4,0
"539",0,10,2,1,0,0,0
"540",0,20,2,2,0,0,0
"541",6,30,1,1,2,2,0
"542",1,20,1,2,2,5,0
"543",0,10,2,2,0,0,0
"544",0,20,2,2,0,0,0
"545",2,60,1,2,1,4,0
"546",1,20,1,2,2,4,0
"547",0,15,2,1,0,0,0
"548",0,0,2,2,0,0,3
"549",1,30,1,2,2,5,0
"550",0,25,2,2,0,0,0
"551",3,60,1,1,2,1,0
"552",0,20,2,2,0,0,0
"553",3,60,1,2,2,4,0
"554",3,30,1,2,2,1,0
"555",3,30,1,2,2,2,0
"556",4,30,1,2,2,5,0
"557",5,30,1,2,1,2,0
"558",0,20,2,2,0,0,0
"559",6,30,1,1,2,4,0
"560",0,0,2,2,0,0,3
"561",0,15,2,2,0,0,0
"562",0,20,2,2,0,0,0
"563",0,0,2,2,0,0,3
"564",0,20,2,2,0,0,0
"565",0,0,2,2,0,0,5
"566",2,20,1,2,2,4,0
"567",2,25,1,2,2,4,0
"568",7,60,1,1,1,4,0
"569",0,20,2,2,0,0,0
"570",0,15,2,2,0,0,0
"571",0,15,2,2,0,0,0
"572",0,0,2,2,0,0,2
"573",0,0,2,2,0,0,5
"574",0,0,2,2,0,0,5
"575",0,30,2,2,0,0,0
"576",2,30,1,2,2,3,0
"577",6,30,1,2,2,2,0
"578",3,60,1,2,2,4,0
"579",0,10,2,2,0,0,0
"580",0,0,2,2,0,0,3
"581",0,30,2,2,0,0,0
"582",0,0,2,2,0,0,2
"583",0,20,2,2,0,0,0
"584",0,15,2,1,0,0,0
"585",3,60,1,2,2,4,0
"586",0,0,2,2,0,0,3
"587",0,0,2,2,0,0,3
"588",0,0,2,2,0,0,1
"589",8,20,1,2,2,3,0
"590",1,15,1,2,2,4,0
"591",3,45,1,2,1,1,0
"592",0,0,0,0,0,0,0
"593",4,120,1,2,2,4,0
"594",3,60,1,2,2,4,0
"595",2,240,1,2,2,3,0
"596",0,0,2,2,0,0,5
"597",0,0,2,2,0,0,5
"598",0,60,2,2,0,0,0
"599",2,20,1,2,2,4,0
"600",0,15,2,2,0,0,0
"601",0,0,0,0,0,0,0
"602",0,0,2,2,0,0,5
"603",0,0,2,2,0,0,3
"604",0,15,2,2,0,0,0
"605",0,0,2,2,0,0,5
"606",0,10,2,2,0,0,0
"607",1,10,1,1,2,3,0
"608",0,20,2,2,0,0,0
"609",0,0,0,0,0,0,0
"610",0,15,2,2,0,0,0
"611",0,0,2,2,0,0,3
"612",0,0,2,2,0,0,1
"613",0,0,2,2,0,0,5
"614",0,0,2,2,0,0,1
"615",0,0,2,2,0,0,3
"616",1,30,1,2,2,4,0
"617",3,45,1,2,2,1,0
"618",4,60,1,2,2,1,0
"619",0,30,2,2,0,0,0
"620",0,20,2,2,0,0,0
"621",0,120,2,1,0,0,0
"622",0,15,2,2,0,0,0
