"","p4","p26","p3_4","p8_1","p19","p32","edad"
"816",0,90,2,0,0,0,58
"817",60,180,2,1,0,0,19
"818",0,60,2,0,0,0,40
"819",0,0,2,0,0,2,68
"820",3,45,2,2,0,0,31
"821",0,0,2,0,0,1,76
"822",0,30,2,0,0,0,29
"823",0,0,2,0,0,2,58
"824",12,120,2,1,0,0,22
"825",2,30,1,1,0,0,37
"826",0,30,1,0,0,0,52
"827",0,5,2,0,0,0,47
"828",0,30,2,0,2,0,40
"829",1,10,1,1,0,0,20
"830",0,0,2,0,0,2,55
"831",0,0,2,0,0,2,59
"832",0,0,2,0,0,3,28
"833",0,0,2,0,0,1,51
"834",0,30,2,0,0,0,56
"835",6,120,2,2,0,0,63
"836",0,60,2,0,1,0,57
"837",0,0,2,0,0,3,30
"838",0,0,2,0,0,1,32
"839",6,130,1,1,1,0,20
"840",0,20,2,0,0,0,77
"841",2,30,2,2,3,0,56
"842",0,0,2,0,0,3,33
"843",0,0,2,0,0,1,21
"844",0,20,2,0,0,0,23
"845",0,45,2,0,0,0,53
"846",0,30,2,0,3,0,43
"847",0,0,2,0,0,3,23
"848",0,0,2,0,0,1,55
"849",0,0,2,0,0,3,44
"850",0,10,2,0,0,0,42
"851",0,0,2,0,0,1,57
"852",2,10,2,2,3,0,28
"853",0,0,2,0,0,3,57
"854",0,0,2,0,0,1,39
"855",0,120,2,0,0,0,33
"856",0,0,2,0,0,1,40
"857",5,60,2,1,0,0,50
"858",5,60,2,1,0,0,32
"859",0,0,2,0,0,3,47
"860",0,0,2,0,0,3,48
"861",0,0,2,0,0,3,33
"862",0,60,2,0,3,0,55
"863",0,0,2,0,0,1,55
"864",0,0,2,0,0,1,64
"865",0,10,2,0,2,0,43
"866",0,0,2,0,0,3,40
"867",0,0,2,0,0,1,46
"868",0,5,2,0,2,0,20
"869",3,20,1,1,0,0,30
"870",0,20,2,0,0,0,53
"871",0,0,2,0,0,2,50
"872",0,0,2,0,0,3,38
"873",0,0,2,0,0,1,39
"874",0,60,2,0,0,0,38
"875",4,120,1,2,1,0,23
"876",0,0,2,0,0,2,63
"877",0,0,2,0,0,2,78
"878",0,0,2,0,0,3,50
"879",0,0,2,0,0,3,55
"880",0,0,2,0,0,2,26
"881",1,60,2,2,0,0,58
"882",0,45,2,0,0,0,39
"883",0,30,2,0,1,0,42
"884",0,0,2,0,0,3,29
"885",2,25,2,2,0,0,23
"886",0,0,2,0,0,1,57
"887",0,0,2,0,0,1,35
"888",0,0,2,0,0,1,80
"889",0,0,2,0,0,5,80
"890",0,0,2,0,0,2,57
"891",2,120,2,1,0,0,53
"892",2,40,2,1,3,0,64
"893",0,0,2,0,0,1,54
"894",0,0,2,0,0,4,44
"895",0,0,2,0,0,3,26
"896",0,0,2,0,0,4,19
"897",0,15,2,0,0,0,43
"898",0,0,2,0,0,1,19
"899",1,15,2,2,0,0,47
"900",2,35,2,2,3,0,31
"901",0,15,2,0,2,0,57
"902",3,20,2,2,0,0,28
"903",1,30,2,2,0,0,21
"904",0,30,2,0,0,0,74
"905",0,10,2,0,0,0,18
"906",1,20,2,2,0,0,47
"907",3,60,2,2,0,0,43
"908",0,15,1,0,0,0,37
"909",12,90,2,1,0,0,55
"910",0,0,0,0,0,0,27
"911",3,20,2,1,3,0,37
"912",0,0,2,0,0,1,23
"913",3,40,2,2,0,0,75
"914",20,20,2,2,0,0,60
"915",3,30,2,1,0,0,66
"916",0,15,1,0,0,0,48
"917",5,30,2,2,3,0,38
"918",2,30,2,2,0,0,21
"919",0,0,2,0,0,3,63
"920",15,180,2,2,0,0,69
"921",4,120,2,2,0,0,80
"922",0,50,2,0,0,0,73
"923",3,60,2,2,0,0,26
"924",0,120,1,0,0,0,19
"925",0,25,2,0,2,0,34
"926",1,1,2,2,3,0,81
"927",2,60,2,1,0,0,56
"928",0,0,2,0,0,1,47
"929",0,0,2,0,0,1,44
"930",0,0,2,0,0,3,40
"931",1,40,2,2,0,0,21
"932",4,30,2,1,0,0,48
"933",20,70,2,2,3,0,48
"934",0,0,2,0,0,3,59
"935",0,5,2,0,0,0,25
"936",0,0,2,0,0,3,41
"937",1,20,2,2,2,0,35
"938",0,0,2,0,0,3,49
"939",0,5,2,0,0,0,62
"940",0,0,2,0,0,3,29
"941",0,0,2,0,0,1,31
"942",0,0,2,0,0,2,65
"943",0,0,2,0,0,2,37
"944",30,40,1,1,0,0,25
"945",4,60,2,2,0,0,46
"946",2,15,2,2,0,0,22
"947",0,10,2,0,0,0,44
"948",0,0,0,0,0,0,71
"949",0,0,2,0,0,3,55
"950",7,40,2,2,0,0,36
"951",0,20,2,0,3,0,40
"952",2,30,2,2,2,0,30
"953",0,0,2,0,0,3,38
"954",0,0,2,0,0,1,45
"955",0,0,2,0,0,3,76
"956",0,0,2,0,0,1,57
"957",0,30,2,0,0,0,28
"958",0,0,2,0,0,3,54
"959",0,20,2,0,0,0,38
"960",0,0,2,0,0,3,47
"961",0,0,2,0,0,3,44
"962",1,30,2,2,0,0,33
"963",0,0,2,0,0,3,34
"964",0,0,2,0,0,1,56
"965",1,30,2,2,3,0,25
"966",3,30,2,2,0,0,21
"967",0,0,2,0,0,1,59
"968",0,0,2,0,0,3,23
"969",0,45,2,0,1,0,66
"970",15,90,2,2,0,0,45
"971",5,60,2,2,0,0,24
"972",2,30,2,1,2,0,55
"973",1,30,2,2,0,0,45
"974",0,0,2,0,0,3,63
"975",0,40,2,0,3,0,21
"976",1,60,2,2,0,0,72
"977",1,60,1,2,3,0,31
"978",4,120,2,2,0,0,50
"979",6,60,2,2,0,0,30
"980",0,0,2,0,0,3,35
"981",0,20,2,0,0,0,50
"982",1,20,2,2,0,0,47
"983",0,15,2,0,0,0,29
"984",0,15,2,0,0,0,20
"985",0,0,2,0,0,3,53
"986",2,45,2,2,0,0,58
"987",8,120,2,1,0,0,34
"988",4,120,2,2,0,0,37
"989",0,0,2,0,0,3,32
"990",0,0,2,0,0,3,61
"991",0,0,2,0,0,3,66
"992",0,0,2,0,0,3,68
"993",0,0,2,0,0,2,32
"994",0,0,2,0,0,2,39
"995",4,30,2,1,0,0,33
"996",0,30,2,0,0,0,65
"997",0,0,0,0,0,0,55
"998",1,30,2,1,0,0,21
"999",0,0,2,0,0,3,36
"1000",0,60,2,0,0,0,46
"1001",0,0,2,0,0,3,26
"1002",2,30,2,1,0,0,18
"1003",4,60,2,2,3,0,64
"1004",0,30,2,0,0,0,38
"1005",0,0,2,0,0,4,31
"1006",0,0,2,0,0,3,41
"1007",1,20,2,2,0,0,44
"1008",0,60,2,0,0,0,79
"1009",4,120,2,2,0,0,43
"1010",1,40,2,2,0,0,22
"1011",2,60,2,1,3,0,46
"1012",0,0,2,0,0,4,42
"1013",3,60,2,2,0,0,45
"1014",0,0,2,0,0,1,57
"1015",0,0,2,0,0,5,61
"1016",1,30,2,1,0,0,59
"1017",0,0,2,0,0,3,26
"1018",1,30,2,2,3,0,50
"1019",0,0,2,0,0,3,36
"1020",0,0,2,0,0,2,43
"1021",5,30,2,2,0,0,22
"1022",10,60,2,2,0,0,18
"1023",1,30,2,2,0,0,67
"1024",1,15,2,2,0,0,70
"1025",0,0,2,0,0,3,48
"1026",0,40,1,0,2,0,22
"1027",1,60,2,2,0,0,34
"1028",0,10,2,0,3,0,49
"1029",10,180,2,2,0,0,58
"1030",2,30,2,2,1,0,56
"1031",0,0,2,0,0,2,50
"1032",0,30,2,0,0,0,21
"1033",0,0,2,0,0,3,52
"1034",0,0,2,0,0,2,37
"1035",0,0,2,0,0,1,23
"1036",1,30,2,2,0,0,32
"1037",1,60,2,2,0,0,27
"1038",0,0,2,0,0,3,34
"1039",0,0,2,0,0,4,32
"1040",0,0,2,0,0,3,43
"1041",2,60,2,1,1,0,52
"1042",0,0,2,0,0,4,46
"1043",0,20,2,0,0,0,31
"1044",0,15,2,0,0,0,26
"1045",0,30,2,0,0,0,31
"1046",4,30,2,2,0,0,65
"1047",6,15,2,2,0,0,49
"1048",0,0,2,0,0,3,49
"1049",3,30,2,1,0,0,26
"1050",0,0,2,0,0,1,23
"1051",0,0,0,0,0,0,80
"1052",10,120,2,1,2,0,69
"1053",2,20,2,2,2,0,50
"1054",2,90,2,2,0,0,72
"1055",0,0,2,0,0,4,62
"1056",0,30,2,0,0,0,40
"1057",10,180,1,2,2,0,53
"1058",3,20,2,2,0,0,38
"1059",0,0,2,0,0,3,56
"1060",3,40,1,1,1,0,33
"1061",3,120,2,2,0,0,58
"1062",0,0,2,0,0,2,65
"1063",2,60,2,2,0,0,36
"1064",0,0,2,0,0,2,31
"1065",0,15,2,0,0,0,28
"1066",0,0,2,0,0,1,41
"1067",0,0,2,0,0,2,53
"1068",0,15,2,0,3,0,43
"1069",0,0,2,0,0,2,56
"1070",0,20,2,0,3,0,50
"1071",1,10,2,2,0,0,51
"1072",0,10,2,0,0,0,31
"1073",0,0,2,0,0,1,32
"1074",0,0,2,0,0,5,74
"1075",0,30,2,0,0,0,47
"1076",0,0,2,0,0,2,35
"1077",0,0,2,0,0,2,30
"1078",0,0,2,0,0,2,30
"1079",0,0,2,0,0,1,72
"1080",0,0,2,0,0,3,27
"1081",0,0,2,0,0,2,35
"1082",3,30,2,2,0,0,56
"1083",0,0,2,0,0,1,44
"1084",0,0,2,0,0,2,56
"1085",0,0,0,0,0,0,73
"1086",4,40,2,2,0,0,39
"1087",1,45,2,2,0,0,52
"1088",3,60,2,1,0,0,18
"1089",0,30,1,0,0,0,61
"1090",3,60,2,1,0,0,26
"1091",7,120,2,2,0,0,35
"1092",3,30,2,1,1,0,28
"1093",2,45,2,1,0,0,41
"1094",3,30,2,2,0,0,76
"1095",0,20,2,0,2,0,44
"1096",1,30,2,2,0,0,71
"1097",0,0,2,0,0,3,67
"1098",0,0,2,0,0,2,25
"1099",2,180,2,2,0,0,39
"1100",0,0,2,0,0,5,73
"1101",0,0,2,0,0,3,26
"1102",0,0,2,0,0,3,28
"1103",2,30,2,2,0,0,39
"1104",4,90,2,2,0,0,61
"1105",4,60,2,2,0,0,22
"1106",0,0,2,0,0,2,25
"1107",3,90,2,1,1,0,61
"1108",1,15,2,2,0,0,24
"1109",2,120,2,2,3,0,71
"1110",1,40,2,1,0,0,28
"1111",16,480,2,2,0,0,43
"1112",0,0,2,0,0,1,73
"1113",0,0,2,0,0,1,45
"1114",3,30,2,1,0,0,44
"1115",5,60,2,2,0,0,32
"1116",7,30,2,2,0,0,27
"1117",3,30,2,2,0,0,35
"1118",1,40,2,2,0,0,71
"1119",1,30,2,2,0,0,26
"1120",0,0,2,0,0,3,48
"1121",0,0,2,0,0,3,53
"1122",0,0,2,0,0,2,26
"1123",0,0,2,0,0,2,54
"1124",0,0,2,0,0,1,85
"1125",0,0,2,0,0,5,93
"1126",1,60,1,2,2,0,59
"1127",1,30,2,2,0,0,46
"1128",3,20,2,1,0,0,37
"1129",0,0,2,0,0,3,51
"1130",0,15,1,0,0,0,30
"1131",5,30,2,2,0,0,26
"1132",0,0,2,0,0,1,55
"1133",1,30,2,2,0,0,63
"1134",1,30,2,2,0,0,67
"1135",3,15,2,2,0,0,35
"1136",3,120,2,2,0,0,70
"1137",8,80,2,1,1,0,37
"1138",1,30,2,2,0,0,81
"1139",10,60,2,1,1,0,79
"1140",1,30,2,2,3,0,68
"1141",4,45,2,1,0,0,23
"1142",0,0,2,0,0,3,43
"1143",0,25,2,0,0,0,42
"1144",0,0,2,0,0,5,67
"1145",0,30,2,0,0,0,35
"1146",0,0,2,0,0,1,21
"1147",0,0,0,0,0,0,65
"1148",1,20,2,2,1,0,22
"1149",3,60,2,2,0,0,58
"1150",12,30,2,2,0,0,34
"1151",0,0,0,0,0,0,41
"1152",6,20,2,2,0,0,41
"1153",2,15,2,1,0,0,30
"1154",4,30,2,2,0,0,31
"1155",0,0,2,0,0,3,33
"1156",1,45,1,1,0,0,26
"1157",0,15,2,0,2,0,29
"1158",3,60,2,2,0,0,37
"1159",1,45,2,2,0,0,71
"1160",0,10,2,0,0,0,32
"1161",6,30,2,2,0,0,28
"1162",1,60,1,2,0,0,35
"1163",4,60,2,2,3,0,84
"1164",3,30,2,2,2,0,75
"1165",0,15,2,0,0,0,36
"1166",3,30,2,1,0,0,30
"1167",2,30,1,2,0,0,35
"1168",2,60,2,2,0,0,56
"1169",0,0,2,0,0,3,36
"1170",0,0,2,0,0,3,40
"1171",0,0,2,0,0,2,36
"1172",0,0,2,0,0,1,64
"1173",0,20,1,0,0,0,22
"1174",0,30,2,0,0,0,32
"1175",1,30,2,2,0,0,20
"1176",0,0,2,0,0,1,76
"1177",4,30,2,1,2,0,45
"1178",3,90,2,2,0,0,34
"1179",0,20,2,0,0,0,52
"1180",0,120,2,0,1,0,38
"1181",2,30,2,2,0,0,26
"1182",2,45,2,2,3,0,80
"1183",0,0,2,0,0,1,56
"1184",0,0,2,0,0,2,29
"1185",1,30,2,2,0,0,47
"1186",0,120,2,0,0,0,31
"1187",0,0,2,0,0,1,73
"1188",4,30,2,2,0,0,56
"1189",0,0,0,0,0,0,56
"1190",0,0,2,0,0,3,30
"1191",0,0,2,0,0,5,80
"1192",1,20,2,2,0,0,64
"1193",0,30,2,0,0,0,36
"1194",0,0,2,0,0,2,35
"1195",0,0,2,0,0,5,56
"1196",1,15,2,2,0,0,56
"1197",1,60,2,2,0,0,35
"1198",0,0,2,0,0,3,57
"1199",0,20,2,0,0,0,49
"1200",0,0,2,0,0,3,25
"1201",0,30,2,0,3,0,35
"1202",0,0,2,0,0,1,41
"1203",0,60,2,0,1,0,31
"1204",6,30,2,2,0,0,23
"1205",0,30,2,0,0,0,49
"1206",2,15,2,2,0,0,21
"1207",1,60,2,2,0,0,50
"1208",0,0,0,0,0,0,74
"1209",0,0,2,0,0,2,64
"1210",1,30,2,2,0,0,49
"1211",0,0,2,0,0,1,60
"1212",2,45,2,1,3,0,62
"1213",1,30,2,2,0,0,36
"1214",8,60,2,2,0,0,29
"1215",3,30,1,2,2,0,39
"1216",0,0,2,0,0,2,58
"1217",1,40,2,2,0,0,63
"1218",0,30,2,0,2,0,41
"1219",0,20,2,0,0,0,55
"1220",0,10,2,0,0,0,21
"1221",1,20,2,1,0,0,26
"1222",0,20,2,0,0,0,51
"1223",0,30,2,0,0,0,47
"1224",0,30,2,0,0,0,31
"1225",0,15,2,0,2,0,30
"1226",0,0,2,0,0,5,71
"1227",0,0,2,0,0,1,71
"1228",0,5,2,0,3,0,28
"1229",0,0,2,0,0,2,54
"1230",0,30,2,0,0,0,58
"1231",0,0,2,0,0,5,50
"1232",1,45,2,2,0,0,20
"1233",7,40,2,2,0,0,31
"1234",4,90,2,2,2,0,58
"1235",2,30,2,2,0,0,33
"1236",3,20,1,2,3,0,68
"1237",0,30,2,0,0,0,33
"1238",1,10,2,1,0,0,42
"1239",17,90,2,2,0,0,45
"1240",0,0,2,0,0,5,70
"1241",0,0,2,0,0,5,74
"1242",0,0,2,0,0,1,24
"1243",0,30,2,0,0,0,52
"1244",1,30,2,2,0,0,67
"1245",0,15,2,0,0,0,58
"1246",0,60,2,0,3,0,73
"1247",3,60,2,2,3,0,81
"1248",0,30,2,0,0,0,62
"1249",0,0,2,0,0,3,41
"1250",0,0,2,0,0,3,43
"1251",2,60,2,2,3,0,35
"1252",0,0,2,0,0,3,48
"1253",0,0,2,0,0,5,70
"1254",0,0,2,0,0,5,70
"1255",0,0,2,0,0,2,75
"1256",1,30,2,2,0,0,63
"1257",4,45,1,1,0,0,21
"1258",0,0,2,0,0,3,56
"1259",0,0,2,0,0,3,45
"1260",2,60,2,1,1,0,49
"1261",0,20,2,0,0,0,55
"1262",2,60,2,2,2,0,45
"1263",0,60,2,0,0,0,27
"1264",3,60,2,2,0,0,20
"1265",3,60,2,2,2,0,52
"1266",1,45,1,2,0,0,39
"1267",0,10,2,0,0,0,29
"1268",2,60,2,2,0,0,39
"1269",0,0,2,0,0,2,46
"1270",2,60,2,2,0,0,59
"1271",0,0,0,0,0,0,91
"1272",0,0,2,0,0,2,42
"1273",1,30,2,2,0,0,51
"1274",0,40,2,0,1,0,22
"1275",1,30,2,2,0,0,84
"1276",0,0,2,0,0,3,19
"1277",40,30,2,2,0,0,32
"1278",52,60,1,1,0,0,41
"1279",0,0,2,0,0,1,49
"1280",3,90,2,1,0,0,60
"1281",2,25,2,2,0,0,26
"1282",1,20,2,2,0,0,78
"1283",8,30,2,1,2,0,53
"1284",2,60,2,2,3,0,18
"1285",3,60,2,2,3,0,27
"1286",0,30,2,0,2,0,31
"1287",0,20,1,0,1,0,31
"1288",0,0,2,0,0,3,35
"1289",0,15,1,0,3,0,46
"1290",1,10,2,2,0,0,36
"1291",0,60,2,0,0,0,31
"1292",4,20,2,2,2,0,45
"1293",0,0,2,0,0,5,70
"1294",0,30,2,0,3,0,75
"1295",1,20,2,2,0,0,38
"1296",2,60,2,2,0,0,24
"1297",1,15,2,1,0,0,37
"1298",0,30,2,0,0,0,30
"1299",6,60,2,2,1,0,52
"1300",0,0,2,0,0,1,40
"1301",1,30,2,2,2,0,64
"1302",0,30,2,0,3,0,27
"1303",0,20,2,0,2,0,48
"1304",0,30,2,0,0,0,58
"1305",6,90,2,2,0,0,29
"1306",0,60,2,0,0,0,49
"1307",0,120,2,0,0,0,36
"1308",0,15,1,0,3,0,25
"1309",0,0,2,0,0,2,58
"1310",0,60,2,0,0,0,21
"1311",0,0,2,0,0,3,45
"1312",0,0,2,0,0,3,59
"1313",0,6,2,0,0,0,46
"1314",3,60,2,1,0,0,36
"1315",0,60,2,0,1,0,46
"1316",0,0,2,0,0,2,42
"1317",0,15,2,0,0,0,32
"1318",0,20,2,0,0,0,42
"1319",0,0,2,0,0,3,22
"1320",1,30,2,2,3,0,40
"1321",2,15,2,2,0,0,25
"1322",0,0,2,0,0,3,44
"1323",0,0,2,0,0,3,30
"1324",1,40,2,2,0,0,28
"1325",0,60,2,0,1,0,43
"1326",6,60,2,2,0,0,19
"1327",0,0,2,0,0,2,42
"1328",0,120,2,0,0,0,44
"1329",0,30,2,0,0,0,21
"1330",10,90,1,1,0,0,19
"1331",1,20,2,2,3,0,60
"1332",2,90,2,2,0,0,69
"1333",23,15,2,2,1,0,40
"1334",3,60,2,2,3,0,21
"1335",0,0,2,0,0,5,58
"1336",0,15,2,0,2,0,42
"1337",0,15,2,0,3,0,59
"1338",1,20,2,2,0,0,46
"1339",0,0,2,0,0,1,43
"1340",1,90,2,2,0,0,60
"1341",0,15,2,0,0,0,34
"1342",10,120,2,1,2,0,41
"1343",8,60,2,1,0,0,26
"1344",0,30,2,0,0,0,43
"1345",3,30,2,2,0,0,26
"1346",0,9,2,0,1,0,23
"1347",0,10,2,0,1,0,43
"1348",3,60,2,2,0,0,45
"1349",2,30,1,1,3,0,31
"1350",2,60,2,1,0,0,28
"1351",2,40,2,1,0,0,31
"1352",4,20,1,2,0,0,29
"1353",5,180,2,1,0,0,49
"1354",0,10,2,0,0,0,46
"1355",3,30,2,1,3,0,28
"1356",1,90,2,2,3,0,54
"1357",0,0,2,0,0,6,78
"1358",0,0,0,0,0,0,70
"1359",0,60,2,0,3,0,73
"1360",1,120,2,2,0,0,78
"1361",0,30,2,0,0,0,29
"1362",0,20,2,0,2,0,73
"1363",0,0,2,0,0,2,46
"1364",0,0,2,0,0,2,63
"1365",1,30,2,2,0,0,62
"1366",0,20,2,0,0,0,32
"1367",6,30,2,2,0,0,22
"1368",0,20,2,0,0,0,43
"1369",4,20,2,2,0,0,18
"1370",0,0,2,0,0,1,20
"1371",2,20,2,2,2,0,30
"1372",2,60,2,2,3,0,52
"1373",1,45,2,2,3,0,18
"1374",1,20,1,2,3,0,20
"1375",6,120,1,1,0,0,21
"1376",3,90,2,2,0,0,39
"1377",6,30,2,2,0,0,41
"1378",1,15,2,1,0,0,22
"1379",3,60,2,2,3,0,39
"1380",0,30,2,0,2,0,62
"1381",0,15,2,0,0,0,37
"1382",1,20,2,2,0,0,33
"1383",0,30,2,0,3,0,42
"1384",0,15,2,0,0,0,29
"1385",2,30,2,2,0,0,54
"1386",0,15,2,0,2,0,58
"1387",4,30,2,2,0,0,72
"1388",0,10,2,0,0,0,48
"1389",5,120,2,1,0,0,53
"1390",8,120,1,2,0,0,22
"1391",0,15,2,0,0,0,51
"1392",0,0,2,0,0,2,51
"1393",0,20,2,0,2,0,47
"1394",0,15,2,0,0,0,27
"1395",0,10,2,0,2,0,20
"1396",6,60,2,2,0,0,21
"1397",0,0,2,0,0,1,43
"1398",1,60,2,2,0,0,22
"1399",0,60,2,0,3,0,66
"1400",3,60,1,2,3,0,39
"1401",0,0,2,0,0,1,62
"1402",0,10,2,0,0,0,20
"1403",0,20,2,0,2,0,56
"1404",0,0,2,0,0,3,53
"1405",3,60,2,1,0,0,21
"1406",0,20,2,0,2,0,25
"1407",3,30,2,2,3,0,19
"1408",3,60,2,2,0,0,86
"1409",3,20,2,2,3,0,65
"1410",4,45,2,2,3,0,58
"1411",0,30,2,0,2,0,38
"1412",0,20,2,0,3,0,62
"1413",0,60,2,0,0,0,37
"1414",1,40,2,2,0,0,53
"1415",0,0,2,0,0,3,59
"1416",5,60,2,2,3,0,28
"1417",2,5,2,2,0,0,52
"1418",3,60,2,1,3,0,28
"1419",0,0,2,0,0,3,52
"1420",2,30,1,2,0,0,25
"1421",0,30,2,0,0,0,67
"1422",0,60,2,0,0,0,19
"1423",1,30,2,2,0,0,50
"1424",1,45,2,2,0,0,42
"1425",1,30,2,2,0,0,54
"1426",2,30,1,1,0,0,62
"1427",2,20,1,2,0,0,35
"1428",1,30,2,1,0,0,30
"1429",0,60,2,0,0,0,55
"1430",3,20,2,2,0,0,27
"1431",0,0,0,0,0,0,60
"1432",3,30,2,2,0,0,49
"1433",1,30,2,2,0,0,41
"1434",2,60,2,2,0,0,51
"1435",4,60,2,2,0,0,22
"1436",0,0,2,0,0,1,42
"1437",0,0,2,0,0,3,33
"1438",20,120,2,1,3,0,75
"1439",4,30,2,2,0,0,41
"1440",0,0,2,0,0,5,61
"1441",1,15,2,2,0,0,27
"1442",0,0,2,0,0,3,65
"1443",8,30,2,1,1,0,53
"1444",3,60,2,2,2,0,44
"1445",0,10,2,0,0,0,46
"1446",2,30,2,2,0,0,71
"1447",0,60,2,0,0,0,62
"1448",1,30,2,2,0,0,55
"1449",1,15,2,1,0,0,20
"1450",0,10,2,0,0,0,65
"1451",15,180,2,1,1,0,52
"1452",0,10,2,0,0,0,45
"1453",0,0,2,0,0,2,57
"1454",0,0,2,0,0,2,59
"1455",0,30,2,0,2,0,48
"1456",0,60,2,0,0,0,19
"1457",0,0,2,0,0,1,53
"1458",3,90,2,1,1,0,67
"1459",0,0,2,0,0,3,31
"1460",0,10,2,0,0,0,40
"1461",4,30,2,2,0,0,53
"1462",0,10,2,0,2,0,36
"1463",1,30,2,2,0,0,57
"1464",5,60,2,1,0,0,20
"1465",0,0,2,0,0,5,70
"1466",1,60,2,2,0,0,37
"1467",0,0,2,0,0,5,80
"1468",1,30,2,2,0,0,78
"1469",0,0,2,0,0,4,21
"1470",0,30,2,0,2,0,58
"1471",0,25,2,0,3,0,68
"1472",0,0,2,0,0,1,74
"1473",1,40,2,2,0,0,28
"1474",2,40,2,1,0,0,23
"1475",0,0,2,0,0,3,43
"1476",0,0,2,0,0,1,48
"1477",7,60,2,1,1,0,39
"1478",2,40,2,2,0,0,30
"1479",0,60,2,0,0,0,49
"1480",4,45,2,2,0,0,46
"1481",4,90,2,2,0,0,42
"1482",1,30,2,2,0,0,73
"1483",0,0,2,0,0,1,52
"1484",0,30,1,0,0,0,27
"1485",1,120,2,1,0,0,25
"1486",0,0,2,0,0,1,49
"1487",0,0,2,0,0,3,23
"1488",0,0,2,0,0,3,38
"1489",0,0,2,0,0,3,40
"1490",4,45,2,2,0,0,20
"1491",0,0,2,0,0,1,48
"1492",1,30,2,2,0,0,49
"1493",0,0,2,0,0,1,52
"1494",0,120,2,0,2,0,81
"1495",0,0,2,0,0,3,75
"1496",0,30,2,0,0,0,38
"1497",0,0,2,0,0,2,29
"1498",0,0,0,0,0,0,68
"1499",0,30,2,0,0,0,39
"1500",0,0,2,0,0,3,40
"1501",1,90,2,2,0,0,63
"1502",0,30,2,0,0,0,52
"1503",0,30,2,0,0,0,24
"1504",4,40,2,2,0,0,39
"1505",1,50,2,2,0,0,43
"1506",0,0,2,0,0,3,44
"1507",0,0,2,0,0,1,56
"1508",0,0,2,0,0,3,74
"1509",3,20,2,2,0,0,35
"1510",0,0,0,0,0,0,55
"1511",0,0,2,0,0,3,39
"1512",0,0,2,0,0,4,51
"1513",1,30,2,2,0,0,63
"1514",0,0,2,0,0,3,35
"1515",0,0,2,0,0,3,27
"1516",0,0,0,0,0,0,52
"1517",0,0,2,0,0,3,36
"1518",2,20,2,2,0,0,20
"1519",1,30,2,2,0,0,70
"1520",3,45,2,2,1,0,69
"1521",0,0,2,0,0,3,21
"1522",1,25,2,2,2,0,27
"1523",1,30,2,2,3,0,33
"1524",10,120,2,1,0,0,25
"1525",0,25,2,0,2,0,54
"1526",2,30,2,2,0,0,27
"1527",0,0,2,0,0,3,21
"1528",20,30,2,1,0,0,40
"1529",2,30,2,2,0,0,60
"1530",3,60,2,2,1,0,41
"1531",60,60,2,1,0,0,60
"1532",0,30,2,0,0,0,35
"1533",2,30,2,2,3,0,47
"1534",10,120,2,2,0,0,74
"1535",1,20,2,2,0,0,53
"1536",0,0,2,0,0,5,78
"1537",0,60,2,0,3,0,78
"1538",0,20,2,0,0,0,41
"1539",0,20,2,0,0,0,52
"1540",1,20,2,2,0,0,43
"1541",0,0,2,0,0,3,46
"1542",0,0,2,0,0,3,36
"1543",0,0,2,0,0,2,28
"1544",0,0,2,0,0,3,50
"1545",1,60,2,2,0,0,52
"1546",0,0,2,0,0,2,62
"1547",0,0,2,0,0,6,73
"1548",0,0,2,0,0,5,47
"1549",0,20,2,0,2,0,32
"1550",0,0,2,0,0,3,21
"1551",0,0,2,0,0,2,72
"1552",0,60,2,0,3,0,65
"1553",0,0,2,0,0,3,49
"1554",0,10,2,0,3,0,20
"1555",1,30,2,2,0,0,46
"1556",0,0,2,0,0,1,55
"1557",0,30,2,0,0,0,35
"1558",1,30,1,2,0,0,44
"1559",0,30,2,0,3,0,35
"1560",0,0,2,0,0,3,41
"1561",0,0,2,0,0,2,68
"1562",0,0,2,0,0,3,45
"1563",0,0,2,0,0,3,38
"1564",0,30,2,0,2,0,19
"1565",0,0,2,0,0,3,57
"1566",30,60,1,2,0,0,49
"1567",1,60,2,2,0,0,28
"1568",0,60,2,0,1,0,43
"1569",0,20,1,0,3,0,43
"1570",0,10,2,0,3,0,47
"1571",0,20,2,0,3,0,57
"1572",0,5,2,0,3,0,62
"1573",1,10,2,2,0,0,22
"1574",0,0,2,0,0,1,44
"1575",2,30,2,2,3,0,31
"1576",0,30,2,0,0,0,46
"1577",3,30,1,2,0,0,44
"1578",1,5,2,2,0,0,37
"1579",0,10,2,0,0,0,30
"1580",20,20,1,2,0,0,52
"1581",1,20,2,2,3,0,51
"1582",0,60,1,0,0,0,22
"1583",0,0,2,0,0,1,48
"1584",0,40,2,0,1,0,42
"1585",1,60,2,2,0,0,44
"1586",2,30,1,1,2,0,53
"1587",7,120,2,1,0,0,37
"1588",3,90,1,2,0,0,34
"1589",1,60,2,2,0,0,36
"1590",1,30,1,2,3,0,76
"1591",0,30,2,0,0,0,54
"1592",0,0,2,0,0,3,47
"1593",0,0,2,0,0,1,35
"1594",3,10,2,2,2,0,43
"1595",0,10,1,0,0,0,33
"1596",2,20,1,2,2,0,43
"1597",0,5,2,0,3,0,32
"1598",0,0,2,0,0,1,43
"1599",0,10,1,0,2,0,38
"1600",0,3,2,0,2,0,25
"1601",0,0,0,0,0,0,35
