"","p4","p26","p3_4","p8_1","p19","p32","edad"
"187",2,120,1,2,0,0,28
"188",1,20,2,2,1,0,45
"189",1,15,2,2,0,0,44
"190",23,120,2,1,1,0,32
"191",4,30,2,2,3,0,63
"192",5,60,2,2,2,0,52
"193",2,120,2,2,0,0,30
"194",0,0,0,0,0,0,73
"195",0,0,0,0,0,0,60
"196",5,40,1,1,3,0,28
"197",0,30,2,0,1,0,35
"198",5,10,1,2,0,0,25
"199",0,0,2,0,0,5,38
"200",0,15,2,0,2,0,45
"201",0,0,2,0,0,2,26
"202",0,40,2,0,0,0,39
"203",12,120,2,1,0,0,25
"204",0,0,2,0,0,5,55
"205",1,40,2,2,0,0,45
"206",5,120,2,1,0,0,24
"207",1,35,2,2,0,0,58
"208",0,0,0,0,0,0,52
"209",0,0,2,0,0,1,56
"210",0,120,2,0,3,0,62
"211",0,0,2,0,0,1,55
"212",2,180,2,2,0,0,20
"213",0,0,2,0,0,5,72
"214",0,0,2,0,0,5,73
"215",2,60,2,2,0,0,51
"216",0,0,0,0,0,0,61
"217",3,60,2,1,1,0,40
"218",0,0,2,0,0,1,40
"219",0,0,2,0,0,2,31
"220",0,45,2,0,0,0,28
"221",0,0,2,0,0,5,70
"222",6,60,2,2,0,0,66
"223",15,120,2,2,0,0,64
"224",0,60,2,0,0,0,34
"225",0,0,2,0,0,1,58
"226",6,180,2,2,0,0,60
"227",0,0,2,0,0,2,53
"228",0,0,2,0,0,1,51
"229",1,30,2,2,0,0,45
"230",0,0,0,0,0,0,61
"231",0,60,2,0,3,0,62
"232",0,0,2,0,0,5,75
"233",0,0,2,0,0,5,83
"234",0,0,2,0,0,1,69
"235",3,120,2,1,0,0,20
"236",8,120,2,2,0,0,78
"237",0,0,2,0,0,1,36
"238",0,45,2,0,0,0,33
"239",10,60,2,1,0,0,49
"240",2,45,2,1,0,0,35
"241",0,0,2,0,0,5,64
"242",0,0,2,0,0,2,34
"243",0,45,1,0,0,0,28
"244",0,0,2,0,0,1,20
"245",0,15,2,0,2,0,51
"246",0,60,2,0,2,0,43
"247",4,45,2,1,1,0,61
"248",0,0,0,0,0,0,45
"249",0,20,2,0,3,0,35
"250",0,5,2,0,2,0,52
"251",0,0,2,0,0,1,56
"252",1,15,2,2,1,0,33
"253",5,5,2,2,0,0,41
"254",0,0,2,0,0,3,49
"255",3,90,2,2,0,0,49
"256",1,5,2,2,0,0,73
"257",2,30,1,1,0,0,25
"258",8,15,2,2,0,0,36
"259",2,15,2,1,0,0,25
"260",0,5,2,0,0,0,36
"261",0,0,2,0,0,1,43
"262",1,20,2,2,0,0,80
"263",1,15,2,2,0,0,33
"264",2,60,2,2,0,0,49
"265",2,15,2,2,0,0,26
"266",0,0,2,0,0,1,39
"267",1,10,2,2,0,0,82
"268",0,30,2,0,2,0,31
"269",0,10,2,0,0,0,31
"270",0,10,2,0,2,0,44
"271",3,60,2,2,0,0,43
"272",0,60,2,0,0,0,32
"273",6,30,1,1,0,0,36
"274",2,20,2,2,0,0,59
"275",2,60,2,2,0,0,33
"276",2,30,1,1,0,0,23
"277",3,60,2,1,2,0,31
"278",6,60,2,1,0,0,23
"279",0,10,2,0,0,0,35
"280",0,30,1,0,1,0,29
"281",0,0,2,0,0,1,51
"282",0,0,2,0,0,4,30
"283",2,20,2,2,1,0,27
"284",0,15,2,0,1,0,50
"285",1,60,2,1,0,0,35
"286",1,10,2,2,0,0,59
"287",0,10,2,0,3,0,61
"288",1,30,2,2,0,0,30
"289",1,5,2,2,0,0,64
"290",2,30,2,2,0,0,76
"291",0,60,2,0,0,0,19
"292",0,20,2,0,3,0,63
"293",1,20,2,2,0,0,36
"294",4,120,2,2,0,0,78
"295",2,60,2,1,1,0,32
"296",1,10,2,2,0,0,58
"297",0,30,2,0,3,0,71
"298",0,0,2,0,0,3,52
"299",3,60,2,2,3,0,64
"300",1,15,2,2,0,0,69
"301",0,0,2,0,0,5,60
"302",3,30,2,2,0,0,51
"303",0,60,2,0,0,0,57
"304",0,0,2,0,0,5,69
"305",0,20,2,0,0,0,22
"306",0,0,2,0,0,3,42
"307",0,0,2,0,0,3,48
"308",1,60,2,2,0,0,29
"309",0,0,2,0,0,1,22
"310",0,20,2,0,0,0,42
"311",0,5,2,0,2,0,52
"312",1,60,2,2,0,0,63
"313",3,30,2,2,0,0,24
"314",0,0,2,0,0,3,29
"315",0,0,2,0,0,3,42
"316",0,0,2,0,0,3,45
"317",0,60,2,0,3,0,26
"318",0,0,2,0,0,3,26
"319",0,0,2,0,0,3,39
"320",0,0,2,0,0,3,49
"321",4,90,2,2,3,0,55
"322",0,0,2,0,0,3,32
"323",0,40,2,0,3,0,30
"324",3,60,2,1,0,0,42
"325",1,30,2,1,3,0,40
"326",0,20,2,0,0,0,46
"327",0,20,2,0,0,0,50
"328",2,60,2,2,0,0,19
"329",0,5,2,0,0,0,33
"330",0,0,2,0,0,3,26
"331",0,0,2,0,0,1,38
"332",0,30,2,0,0,0,21
"333",0,0,2,0,0,1,59
"334",3,40,2,2,0,0,48
"335",0,0,2,0,0,5,68
"336",0,0,2,0,0,1,50
"337",1,30,2,2,0,0,38
"338",0,0,2,0,0,1,40
"339",0,0,2,0,0,3,55
"340",0,0,2,0,0,1,67
"341",1,25,2,2,3,0,55
"342",0,15,2,0,2,0,41
"343",0,0,2,0,0,2,35
"344",0,30,2,0,0,0,23
"345",0,0,2,0,0,1,70
"346",0,0,2,0,0,1,72
