"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"1",0,0,2,2,0,0,3
"2",0,10,2,2,0,0,0
"3",0,0,2,2,0,0,1
"4",0,0,2,2,0,0,2
"5",0,20,2,2,0,0,0
"6",0,0,2,2,0,0,3
"7",2,30,1,2,2,4,0
"8",0,15,2,2,0,0,0
"9",3,30,1,2,2,2,0
"10",0,0,2,2,0,0,2
"11",0,0,2,2,0,0,3
"12",0,20,2,2,0,0,0
"13",3,60,1,2,1,4,0
"14",2,20,1,2,2,4,0
"15",2,30,1,2,1,4,0
"16",0,0,2,2,0,0,3
"17",1,30,1,2,2,4,0
"18",0,30,2,2,0,0,0
"19",0,0,2,2,0,0,3
"20",2,60,1,2,2,4,0
"21",2,20,1,2,2,4,0
"22",1,10,1,2,2,3,0
"23",0,0,2,2,0,0,2
"24",0,30,2,2,0,0,0
"25",4,60,1,2,1,4,0
"26",0,0,2,2,0,0,1
"27",0,0,2,2,0,0,2
"28",0,30,2,2,0,0,0
"29",0,0,2,2,0,0,2
"30",0,0,2,2,0,0,5
"31",0,15,2,2,0,0,0
"32",0,0,2,2,0,0,3
"33",0,10,2,2,0,0,0
"34",0,0,2,2,0,0,3
"35",0,20,2,2,0,0,0
"36",0,0,2,2,0,0,3
"37",0,0,2,2,0,0,3
"38",0,0,2,2,0,0,3
"39",0,0,2,2,0,0,2
"40",0,20,2,2,0,0,0
"41",0,0,2,2,0,0,1
"42",0,0,2,2,0,0,4
"43",2,20,1,2,2,4,0
"44",3,30,1,2,1,4,0
"45",2,15,1,2,2,4,0
"46",0,20,2,2,0,0,0
"47",0,15,2,2,0,0,0
"48",0,0,2,2,0,0,3
"49",0,0,2,2,0,0,1
"50",0,20,2,2,0,0,0
"51",0,15,2,2,0,0,0
"52",0,30,2,2,0,0,0
"53",4,60,1,2,1,2,0
"54",6,40,1,2,1,2,0
"55",0,0,2,2,0,0,1
"56",0,15,2,2,0,0,0
"57",2,30,1,1,2,4,0
"58",0,0,2,2,0,0,3
"59",0,0,2,2,0,0,3
"60",0,0,2,2,0,0,3
"61",0,0,2,2,0,0,3
"62",0,0,2,2,0,0,3
"63",0,0,2,2,0,0,3
"64",0,0,2,2,0,0,3
"65",0,30,2,2,0,0,0
"66",2,30,1,2,1,3,0
"67",2,15,1,2,1,3,0
"68",0,0,2,2,0,0,1
"69",2,60,1,1,2,2,0
"70",0,0,2,2,0,0,1
"71",0,20,2,2,0,0,0
"72",0,15,2,1,0,0,0
"73",0,15,2,2,0,0,0
"74",2,30,1,2,2,4,0
"75",8,30,1,2,2,2,0
"76",4,40,1,2,1,4,0
"77",0,0,2,2,0,0,1
"78",6,120,1,1,2,5,0
"79",0,60,2,1,0,0,0
"80",0,0,2,2,0,0,1
"81",0,15,2,2,0,0,0
"82",0,15,2,2,0,0,0
"83",0,20,2,2,0,0,0
"84",0,40,2,2,0,0,0
"85",0,20,2,1,0,0,0
"86",0,25,2,2,0,0,0
"87",0,40,2,1,0,0,0
"88",0,30,2,2,0,0,0
"89",0,60,2,2,0,0,0
"90",0,0,2,2,0,0,3
"91",0,0,0,0,0,0,0
"92",0,0,2,2,0,0,5
"93",3,30,1,2,2,5,0
"94",1,90,1,2,2,5,0
"95",3,20,1,2,2,5,0
"96",0,0,2,2,0,0,5
"97",2,15,1,2,1,4,0
"98",0,0,2,2,0,0,1
"99",0,0,2,2,0,0,1
"100",0,25,2,2,0,0,0
"101",0,0,2,2,0,0,2
"102",1,20,1,2,1,3,0
"103",2,10,1,2,2,4,0
"104",2,30,1,2,1,1,0
"105",0,20,2,2,0,0,0
"106",1,60,1,2,1,2,0
"107",2,30,1,2,2,5,0
"108",0,0,2,2,0,0,1
"109",0,0,2,2,0,0,1
"110",3,60,1,2,2,1,0
"111",0,0,2,2,0,0,3
"112",3,30,1,2,2,4,0
"113",0,0,2,2,0,0,5
"114",0,0,2,2,0,0,5
"115",0,35,2,2,0,0,0
"116",0,0,2,2,0,0,1
"117",0,0,0,0,0,0,0
"118",0,0,2,2,0,0,1
"119",6,30,1,2,1,1,0
"120",3,20,1,2,2,4,0
"121",4,90,1,2,1,1,0
