"","p4","p26","p3_1","p3_4","p8_1","p5","p32","edad"
"167",1,180,1,2,2,5,0,84
"168",1,15,1,2,2,3,0,52
"169",1,15,1,2,2,2,0,19
"170",2,15,1,2,2,3,0,48
"171",1,30,1,2,2,5,0,18
"172",0,30,2,2,0,0,0,28
"173",1,20,1,2,2,1,0,19
"174",0,30,2,2,0,0,0,40
"175",0,60,2,2,0,0,0,58
"176",4,10,1,2,2,4,0,21
"177",2,60,1,2,2,3,0,64
"178",4,120,1,2,2,3,0,60
"179",0,10,2,2,0,0,0,22
"180",5,5,1,2,1,1,0,28
"181",5,30,1,2,2,3,0,38
"182",0,30,2,2,0,0,0,66
"183",0,0,2,2,0,0,5,50
"184",0,10,2,2,0,0,0,37
"185",0,40,2,2,0,0,0,86
"186",0,3,2,2,0,0,0,45
"187",0,0,2,2,0,0,3,68
"188",0,10,2,2,0,0,0,41
"189",0,30,2,1,0,0,0,34
"190",3,30,1,2,2,4,0,62
"191",12,80,1,2,1,1,0,31
"192",2,20,1,2,2,4,0,43
"193",0,10,2,2,0,0,0,63
"194",9,45,1,2,2,3,0,29
"195",0,0,0,0,0,0,0,72
"196",2,60,1,1,2,3,0,27
"197",0,20,2,2,0,0,0,29
"198",0,30,2,2,0,0,0,34
"199",0,0,2,2,0,0,3,59
"200",0,15,2,2,0,0,0,27
"201",0,30,2,2,0,0,0,56
"202",0,30,2,2,0,0,0,47
"203",2,40,1,2,1,1,0,44
"204",0,45,2,2,0,0,0,54
"205",9,25,1,2,1,2,0,23
"206",9,120,1,2,2,4,0,44
"207",0,0,2,2,0,0,5,71
"208",0,0,0,0,0,0,0,72
"209",0,0,2,2,0,0,2,27
"210",0,0,2,2,0,0,5,60
"211",6,90,1,2,1,1,0,28
"212",0,0,2,2,0,0,1,23
"213",0,0,2,2,0,0,1,57
"214",1,30,1,2,2,4,0,33
"215",3,45,1,2,2,1,0,23
"216",3,60,1,2,2,2,0,19
"217",11,120,1,2,1,2,0,22
"218",4,45,1,2,2,3,0,56
"219",0,0,2,2,0,0,1,39
"220",5,120,1,2,1,1,0,27
"221",2,40,1,1,1,1,0,39
"222",0,20,2,2,0,0,0,30
"223",0,0,2,2,0,0,5,81
"224",15,180,1,2,2,4,0,59
"225",0,45,2,2,0,0,0,40
"226",2,25,1,2,2,5,0,51
"227",0,0,2,2,0,0,5,60
"228",0,60,2,2,0,0,0,61
"229",0,0,0,0,0,0,0,74
"230",5,45,1,2,1,1,0,44
"231",0,0,2,2,0,0,5,82
"232",5,200,1,2,1,2,0,19
"233",10,120,1,2,2,4,0,77
"234",4,120,1,2,2,5,0,68
"235",2,90,1,2,2,5,0,75
"236",6,120,1,2,2,3,0,69
"237",2,45,1,2,2,4,0,50
"238",0,0,2,2,0,0,1,21
"239",1,20,1,2,2,5,0,69
"240",0,30,2,2,0,0,0,48
"241",0,0,2,2,0,0,1,38
"242",0,0,2,2,0,0,1,27
"243",1,120,1,2,2,5,0,63
"244",0,0,2,2,0,0,1,33
"245",9,180,1,2,1,2,0,19
"246",0,30,2,2,0,0,0,24
"247",1,120,1,2,1,1,0,61
"248",0,45,2,2,0,0,0,48
"249",3,25,1,2,2,4,0,44
"250",3,60,1,2,2,3,0,48
"251",1,25,1,2,2,3,0,24
"252",0,0,2,2,0,0,3,67
"253",1,30,1,2,2,5,0,72
"254",0,40,2,2,0,0,0,79
"255",1,30,1,2,2,3,0,26
"256",1,20,1,2,2,4,0,35
"257",0,0,2,2,0,0,3,25
"258",3,10,1,2,2,2,0,24
"259",1,30,1,2,2,3,0,35
"260",1,30,1,2,2,5,0,79
"261",7,20,1,2,2,3,0,21
"262",0,0,2,2,0,0,6,27
"263",3,20,1,2,2,4,0,59
"264",0,60,2,2,0,0,0,59
"265",5,120,1,2,2,4,0,60
"266",5,30,1,1,2,3,0,60
"267",2,20,1,2,2,4,0,59
"268",2,10,1,2,1,4,0,48
"269",0,0,2,2,0,0,3,29
"270",0,0,2,2,0,0,3,48
"271",1,10,1,2,2,3,0,38
"272",2,30,1,2,2,4,0,25
"273",0,10,2,2,0,0,0,32
"274",0,15,2,2,0,0,0,38
"275",10,15,1,1,2,2,0,26
"276",0,30,2,2,0,0,0,30
"277",2,20,1,2,2,5,0,65
"278",1,20,1,2,2,2,0,42
"279",0,120,2,2,0,0,0,34
"280",1,20,1,2,2,3,0,43
"281",6,40,1,2,2,4,0,42
"282",0,30,2,2,0,0,0,31
"283",4,60,1,2,2,4,0,35
"284",0,60,2,2,0,0,0,26
"285",0,30,2,2,0,0,0,29
"286",0,0,2,2,0,0,1,50
"287",4,120,1,2,2,3,0,25
"288",2,60,1,2,2,3,0,20
"289",0,5,2,2,0,0,0,60
"290",10,120,1,2,2,4,0,75
"291",0,0,2,2,0,0,3,35
"292",0,30,2,1,0,0,0,18
"293",0,30,2,2,0,0,0,62
"294",2,30,1,2,2,4,0,32
"295",0,0,2,2,0,0,3,33
"296",0,20,2,2,0,0,0,56
"297",0,0,2,2,0,0,1,66
"298",3,60,1,2,2,4,0,34
"299",2,60,1,2,2,4,0,59
"300",4,90,1,2,2,4,0,27
"301",2,60,1,2,2,4,0,47
"302",0,30,2,2,0,0,0,25
"303",5,180,1,2,2,3,0,77
"304",4,120,1,2,1,1,0,31
"305",1,20,1,2,2,3,0,70
"306",2,20,1,2,2,4,0,57
"307",0,30,2,2,0,0,0,39
"308",0,120,2,2,0,0,0,63
"309",0,30,2,2,0,0,0,68
"310",0,0,2,2,0,0,3,59
"311",1,30,1,2,2,4,0,51
"312",2,15,1,2,2,4,0,41
"313",1,15,1,2,2,5,0,51
"314",0,0,2,2,0,0,1,28
"315",0,0,2,2,0,0,1,21
"316",10,40,1,2,2,4,0,30
"317",0,50,2,1,0,0,0,24
"318",0,0,2,2,0,0,3,50
"319",0,15,2,2,0,0,0,25
"320",1,30,1,2,2,4,0,28
"321",0,0,2,2,0,0,4,44
"322",1,10,1,2,2,4,0,41
"323",0,30,2,2,0,0,0,25
"324",0,0,0,0,0,0,0,64
"325",0,0,2,2,0,0,5,65
"326",0,0,2,2,0,0,3,25
"327",1,25,1,1,2,4,0,30
"328",0,0,2,2,0,0,3,47
"329",0,0,2,2,0,0,3,20
"330",0,0,2,2,0,0,1,58
"331",3,90,1,2,1,3,0,30
"332",0,25,2,2,0,0,0,33
"333",0,0,2,2,0,0,1,68
"334",0,0,2,2,0,0,1,57
"335",0,3,2,2,0,0,0,61
"336",0,0,2,2,0,0,3,49
"337",2,30,1,2,2,3,0,44
"338",0,15,2,2,0,0,0,46
"339",1,30,1,2,2,3,0,31
"340",2,25,1,2,2,4,0,43
"341",0,20,2,2,0,0,0,50
"342",0,20,2,2,0,0,0,64
"343",0,0,2,2,0,0,5,86
"344",0,0,2,2,0,0,3,69
"345",0,20,2,2,0,0,0,45
"346",0,0,0,0,0,0,0,35
"347",0,0,2,2,0,0,1,36
"348",0,20,2,2,0,0,0,30
"349",0,0,2,2,0,0,3,33
"350",0,30,2,2,0,0,0,55
"351",0,20,2,2,0,0,0,58
"352",0,20,2,2,0,0,0,46
"353",0,30,2,2,0,0,0,30
"354",4,45,1,2,2,1,0,30
"355",0,0,2,2,0,0,3,62
"356",0,25,2,2,0,0,0,54
"357",0,25,2,2,0,0,0,38
"358",0,0,2,2,0,0,2,64
"359",2,20,1,2,2,3,0,39
"360",5,60,1,2,2,2,0,19
"361",2,35,1,2,2,4,0,50
"362",0,0,2,2,0,0,3,29
"363",0,0,2,2,0,0,3,41
"364",6,120,1,2,2,1,0,54
"365",0,25,2,2,0,0,0,45
"366",0,0,2,2,0,0,2,36
